State,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,181349.8,186299,191481,194211,200402.7,203829.8,210364.4,221735.5
Alaska,56259.9,57670.1,56622.8,55523.4,50641.6,49363.4,51803.1,54734.1
Arizona,257947.8,268288.8,275199.1,284430,297141.2,311091,327495.8,348297.1
Arkansas,106085.4,108745.2,114251.5,117336.7,118761.2,120374.8,123383.1,128418.9
California,2050056.8,2144497.3,2262771.2,2395162.3,2553772.2,2657797.6,2819110.7,2997732.8
Colorado,264431.6,273519.5,288305.2,306571.1,318554.9,329368.3,350004.4,371749.6
Connecticut,236523.7,243801,246632,248865.2,260072.6,263696.4,268310.5,275726.9
Delaware,60357.4,61975.8,60666.1,66891,70969.4,69549.7,70774.8,73481.3
District of Columbia,110076.2,112736.5,114891,119841,125211.9,129826.1,134042.7,140660.9
Florida,746787.5,769309.1,800704.1,839484.1,895146.2,938774.2,985665.4,1039236.4
Georgia,429574,444132.2,460585.1,485816.7,513565.6,539525.1,566473.6,592153.4
Hawaii,70482.6,73582.7,75788.3,77854.3,82710,85843.8,89428.9,93797.9
Idaho,56488.1,57764.4,61017.7,63521.8,66004.3,69029.4,72723.2,77052
Illinois,688288.9,720702.3,739627.9,765347.7,792999.4,806315.5,826817.8,865310.4
Indiana,288749.1,297552.7,308681.7,324934.5,330032.2,338126.1,351105.6,366800.5
Iowa,147227,157250.8,160299.8,171561,178472.6,179546.6,181846.3,189701.6
Kansas,135315.3,140477.8,143220.7,148225.6,152374.1,156857.4,161219.6,168318
Kentucky,169940.7,176302.3,182359.2,186523,191923.3,195342.2,200715.4,208087.5
Louisiana,228987.5,233623.1,228967.4,238679.5,234299.1,227226.7,239204.3,257287.8
Maine,51866.7,52874,53719,55795.4,57525.7,59753.9,62040.3,64856
Maryland,328058.4,334821.6,341255.3,352046.7,367096.5,384889.1,394258.6,412584.2
Massachusetts,425593.2,444329.8,454345.7,473279,502858,519407.6,540786,569488
Michigan,401105.4,418857.4,432717.6,449127.7,474301.4,491774.2,505561.2,527095.8
Minnesota,283807.3,294296.6,306153,319778.7,329493.2,339100.1,351416.8,368852.4
Mississippi,96371.6,99614.6,101638.1,104146,105883.4,107096.6,110223.4,114834.2
Missouri,260093.5,268761.5,277851.1,284712.5,294794.6,297582.6,304946.2,318921
Montana,40579.3,42005.8,43141,44495.7,46152.9,45457.9,47559.1,50326.6
Nebraska,99613.4,102269,107604.3,111161.7,115328,116193.8,120517.4,123977.9
Nevada,126657.1,128043,130621.4,135153.2,144232.4,151215.1,158847.6,169309.9
New Hampshire,65430.5,67689.2,70181.9,72340.1,76033.3,78477.9,80900.2,84463.9
New Jersey,499114.9,519745.8,533686.7,546686.5,569679.5,582427.5,595324.5,622002.8
New Mexico,86625,87601.6,88411.2,92480.7,90969,91043.6,94267.1,100296.8
New York,1236061.4,1322447.9,1355581.4,1427495.2,1487754.1,1539555.2,1604133.6,1668866.2
North Carolina,427205.6,439571,455521.6,475994.6,503628.8,519122.1,538401.6,563690.5
North Dakota,41179.2,51345.1,53881.7,58650,55012.2,50833.1,52472.3,56082.3
Ohio,525388.4,540819.3,561045.5,593355.1,610772.3,622835.2,645326,675905.2
Oklahoma,165035.6,173483.7,182618.4,195023.2,185936.7,178913.2,188368.1,202554.1
Oregon,170621.3,174493.1,179382.7,188880.2,203158.9,215050.4,226618.9,239782.8
Pennsylvania,618987.7,641317.3,663900.8,691187.5,711205.4,726163.9,744290.1,783167.8
Rhode Island,50175.9,51642,53209.9,54427.3,56759.4,57693.9,58506.3,60587.6
South Carolina,170087.2,175374.8,183014.9,191938.2,203920.9,212987.4,223111.1,233929.9
South Dakota,41541.5,43444.6,44814.9,46046.5,47752.3,48606.1,49738.7,52014.9
Tennessee,267659.1,283721.8,292803.9,303809,322663.6,335025.7,345949.8,364104.9
Texas,1331220.6,1411378.7,1502249.8,1572818.4,1568457,1565632.2,1665631.8,1802511.2
Utah,124539.4,128721,134252.1,141259.7,149371.6,157883.3,167254.6,178137.6
Vermont,28135.1,28887.4,29098.8,29701.3,30729.6,31659,32209.8,33256.3
Virginia,432392.7,444950,455070,463477.6,484216.6,493877.9,509372.8,532892.5
Washington,379539,400863.3,419345,442201.3,470329.3,491358.2,524814.6,565831
West Virginia,68524.9,69399,71037.6,71919.2,70281,69721.4,73162.9,77437.6
Wisconsin,263881.6,274343.9,282384.6,293884.6,305816.5,313532.4,321987.7,336294
Wyoming,39370.7,38431.7,38922.5,39436.1,37721.5,35740.3,37453.6,39118.5
